name,city,country,latitude,longitude
Cedar Brewing,Cedar Rapids,United States,41.9625,-91.6918
Celis Brewery,Austin,United States,30.2672,-97.7431
Central City Brewing Company,Surrey,Canada,49.1873,-122.85
Central Waters Brewing Company,Amherst,United States,44.4419,-89.2797
Cervecera Centro Americana S.A.,Guatemala City,Guatemala,14.6133,-90.5353
Cervecera Cuauhtmoc-Moctezuma,Monterrey,Mexico,25.7091,-100.314
Cervecera del Pacfico,Mazatln,Mexico,0,0
Cervecera Hondurea,San Pedro Sula,Honduras,0,0
Cervecera Jerome,Mendoza,Argentina,-32.8902,-68.844
Cervecera Nacional,El Dorado,Panama,37.4316,-78.6569
Cerveceria Bucanero,Holguin,Cuba,0,0
CervecerÃ­a La Constancia,San Salvador,El Salvador,0,0
Cervejaria de Macau,Macao,Macao,19.7219,-101.225
Cervejaria Kaiser Brasil,Ponta Grossa,Brazil,-25.1688,-50.1298
Cervejaria Sudbrack,Blumenau,Brazil,-26.8914,-49.1223
Cervezas Alhambra,Granada,Spain,37.1875,-3.6018
Chama River Brewing,Albuquerque,United States,35.14,-106.6
Charles Wells Ltd.,Bedford,United Kingdom,52.1321,-0.4815
Charlie and Jake's Brewery and BBQ,Melbourne,United States,28.2126,-80.6734
Chelsea Brewing Company,New York,United States,40.7457,-74.0086
Cherryland Brewing,Sturgeon Bay,United States,44.8342,-87.377
Cheshire Cat Brewery,Arvada,United States,39.8023,-105.084
Chicago Brewing,Las Vegas,United States,36.1476,-115.298
Chimay (Abbaye Notre Dame de Scourmont),Chimay,Belgium,50.0355,4.3777
Cigar City Brewing,Tampa,United States,27.9587,-82.5093
Circle V Brewing,Indianapolis,United States,39.7684,-86.158
"City Brewing Company, LLC",La Crosse,United States,0,0
CJ's Brewery & Grill,La Jolla,United States,33.8575,-117.876
Cleveland ChopHouse and Brewery,Cleveland,United States,41.4995,-81.6994
Climax Brewing Copmany,Roselle Park,United States,40.6598,-74.283
Clipper City Brewing Co.,Baltimore,United States,39.2308,-76.6751
Clner Hofbrau Frh,Kln,Germany,50.9401,6.957
Coach's Norman,Norman,United States,35.2205,-97.4439
Coast Brewing,Biloxi,United States,30.396,-88.8853
Coast Range Brewing,Gilroy,United States,37.0013,-121.566
Coastal Fog Brewing,Concord,United States,37.978,-122.031
Coeur d'Alene Brewing Company,Coeur d'Alene,United States,47.6745,-116.784
Cold Spring Brewing,Cold Spring,United States,45.4582,-94.4291
Columbia Bay Brewery Restaurant and Pub,Lake Villa,United States,42.417,-88.074
Commonwealth Brewing #1,Boston,United States,42.3584,-71.0598
Coniston Brewing,Coniston,United Kingdom,0,0
Cooper's Cave Ale Company,Glens Falls,United States,43.3177,-73.64
Coopers Brewery,Regency Park,Australia,-34.8727,138.573
Cooperstown Brewing Company,Milford,United States,42.5893,-74.9403
Coors Brewing - Golden Brewery,Golden,United States,39.7599,-105.219
Copper Dragon Brewing,Carbondale,United States,37.7273,-89.2168
Copper Eagle Brewing,Grand Island,United States,40.9222,-98.3581
Copper Kettle Brewery,Millmont,United States,40.8942,-77.1971
Corner Pub,Reedsburg,United States,43.5323,-90.0099
Coronado Brewing Company,Coronado,United States,32.6976,-117.173
Costal Extreme Brewing Company,Middletown,United States,41.537,-71.2796
Courage Brewery,Tadcaster,United Kingdom,53.8846,-1.2652
Court Avenue Brewing,Des Moines,United States,41.5855,-93.621
Courthouse Pub,Manitowoc,United States,44.0886,-87.6576
Crabby Larry's Brewpub Steak & Crab House,Chalfont,United States,40.2795,-75.2143
Crabtree Brewery,Greeley,United States,40.4313,-104.688
Craftsman Brewing,Pasadena,United States,34.1696,-118.159
Crane River Brewpub and Cafe,Lincoln,United States,40.8069,-96.6817
Crescent City Brewhouse,New Orleans,United States,29.9558,-90.0641
Crested Butte Brewery &  Pub,Crested Butte,United States,38.8698,-106.987
Cricket Hill,Fairfield,United States,40.8726,-74.2964
Crooked River Brewing,Cleveland,United States,41.4995,-81.6954
Crooked Waters Brewing,Peoria,United States,40.6936,-89.589
Cropton Brewery,Pickering,United Kingdom,54.2912,-0.8406
Devil's Canyon,Belmont,United States,0,0
Cucapa Brewing Company,Mexicali,Mexico,31.7291,-116.578
Cugino Brewing Company,Batavia,United States,41.8539,-88.2776
Cumberland Brewery,Louisville,United States,38.2309,-85.7055
D.L. Geary Brewing Company,Portland,United States,43.7076,-70.3149
Daas,Tournai,Belgium,50.6059,3.3884
Daleside Brewery,Harrogate,United Kingdom,53.9999,-1.501
Dark Horse Brewing Co.,Marshall,United States,42.2667,-84.9641
Day Brewing,Marrero,United States,29.8994,-90.1004
de dochter van de korenaar,baarle-hertog,Belgium,51.4421,4.9232
